ID,MenuType,MenuSubType,TextEng,TextCHT,TextCHS,TextJP,TextKR,Remarks
105,0,2,Camera (Down),鏡頭 (下),镜头 (下),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [5]
106,0,2,Camera (Left),鏡頭 (左),镜头 (左),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [6]
107,0,2,Camera (Right),鏡頭 (右),镜头 (右),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [7]
108,0,2,Start Menu,主菜單,主菜单,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [8]
109,0,2,Map View,地圖,地图,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [9]
110,0,2,Jump,跳躍,跳跃,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [10]
111,0,2,Sprint,閃避,闪避,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [11]
112,0,2,Attack (Right),攻擊 (右),攻击 (右),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [12]
113,0,2,Attack (Left),攻擊 (左),攻击 (左),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [13]
114,0,2,Attack (Second),攻擊 (副),攻击 (副),,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [14]
115,0,2,OC Skill A,職業技能 A,职业技能 A,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [15]
116,0,2,OC Skill B,職業技能 B,职业技能 B,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [16]
117,0,2,Skill,技能,技能,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [17]
118,0,2,Magic,魔法,魔法,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [18]
119,0,2,Avatar,化身,化身,,,Game Setting 菜單 - 按鍵變更 - 按鍵功能 [19]
120,0,,,,,,,
121,0,,,,,,,
122,0,2,Game controller not detected !,未檢測到遊戲控制器 !,未检测到游戏控制器 !,,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [未檢測到控制器]
123,0,2,Game controller : The direction keys cannot be changed and some functions can only be changed in Reverse,遊戲控制器 : 方向鍵不能更改，部分功能只能以反轉的方式更改 !,游戏控制器 : 箭头键不能更改，部分功能只能以反转的方式更改 !,,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [控制器已連接]
124,0,2,[ Please enter the key on the Keyboard ],[ 請在鍵盤上輸入按鍵 ],[ 请在键盘上输入按键 ],,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [鍵盤輸入]
125,0,2,[ Please enter the key on the Game Controller ],[ 請在遊戲控制器上輸入按鍵 ],[ 请在游戏控制器上输入按键 ],,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [控制器輸入]
126,0,2,,,,,,
127,0,2,,,,,,
128,0,2,,,,,,
129,0,2,,,,,,
130,0,2,Tips : If the same button exists. It will not be saved,提示 : 若存在相同的按鍵時將不會被保存,提示 : 若存在相同的按键时将不会被保存,,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [相同按鍵 - 提示]
131,0,2,Warning: The same key has been detected. Please make the necessary changes as soon as possible.,警告 : 檢測到存在相同的按鍵，請盡快修改。,警告 : 检测到存在相同的按键，请尽快修改。,,,Game Setting 菜單 - 按鍵變更 - 控制器更改提示 [相同按鍵 - 警告]
132,0,,,,,,,
133,0,,,,,,,
134,0,,,,,,,
135,0,0,Cursor move,光標移動,光标移动,,,Game Setting 菜單 - 按鍵提示 1
136,0,0,Cursor move+ / Scale,光標移動+ / 縮放,光标移动+ / 缩放,,,Game Setting 菜單 - 按鍵提示 2
137,0,0,Confirm,確定,确定,,,Game Setting 菜單 - 按鍵提示 3
138,0,0,Cancel / Back,取消 / 退回,取消 / 退回,,,Game Setting 菜單 - 按鍵提示 4
139,0,0,Select,選取,选取,,,Game Setting 菜單 - 按鍵提示 5
140,0,0,View changes,列表變更,列表变更,,,Game Setting 菜單 - 按鍵提示 6
141,0,,,,,,,
142,0,,,,,,,
143,0,,,,,,,
144,0,,,,,,,
145,0,,,,,,,
146,0,,,,,,,
147,0,,,,,,,
148,0,,,,,,,
149,0,,,,,,,
150,90,0,Choose / C. History,選擇 / 查看對話紀錄,选择 / 查看对话纪录,,,Dialogue  - 按鍵提示 1
151,90,0,Confirm / Next,確定 / 文本播放,确定 / 文本播放,,,Dialogue  - 按鍵提示 2
152,90,0,Quick play,文本快速播放,文本快速播放,,,Dialogue  - 按鍵提示 3
153,90,0,(Long press) Skip,(長按) 跳過,(长按) 跳过,,,Dialogue  - 按鍵提示 4
154,90,0,Skip,跳過,跳过,,,Dialogue  - 按鍵提示 長按跳過
155,0,,,,,,,
